City,State,station_count,total_ports,city_state
Bristol,CT,58,148,"Bristol, CT"
Healdsburg,CA,58,119,"Healdsburg, CA"
Westminster,CO,58,123,"Westminster, CO"
Santa Clarita,CA,57,160,"Santa Clarita, CA"
Troy,NY,57,152,"Troy, NY"
Folsom,CA,56,213,"Folsom, CA"
Breckenridge,CO,56,125,"Breckenridge, CO"
Newark,NJ,56,150,"Newark, NJ"
Annapolis,MD,56,233,"Annapolis, MD"
Loveland,CO,56,174,"Loveland, CO"
Cypress,CA,55,117,"Cypress, CA"
Framingham,MA,55,182,"Framingham, MA"
Escondido,CA,55,201,"Escondido, CA"
Charlottesville,VA,55,137,"Charlottesville, VA"
Reston,VA,55,165,"Reston, VA"
El Segundo,CA,54,157,"El Segundo, CA"
Kirkland,WA,54,140,"Kirkland, WA"
Champaign,IL,54,126,"Champaign, IL"
Silver Spring,MD,54,143,"Silver Spring, MD"
Stanford,CA,54,106,"Stanford, CA"
Santa Maria,CA,54,210,"Santa Maria, CA"
Frisco,TX,54,158,"Frisco, TX"
Paso Robles,CA,54,169,"Paso Robles, CA"
New Orleans,LA,53,131,"New Orleans, LA"
La Jolla,CA,53,318,"La Jolla, CA"
Troy,MI,53,122,"Troy, MI"
Doral,FL,53,126,"Doral, FL"
Birmingham,AL,52,209,"Birmingham, AL"
Manteca,CA,52,145,"Manteca, CA"
Temecula,CA,51,232,"Temecula, CA"
Kingston,NY,51,156,"Kingston, NY"
Kalamazoo,MI,51,104,"Kalamazoo, MI"
Gainesville,FL,51,162,"Gainesville, FL"
Rochester,MN,51,108,"Rochester, MN"
Huntington Beach,CA,50,186,"Huntington Beach, CA"
Campbell,CA,50,115,"Campbell, CA"
Stockton,CA,50,253,"Stockton, CA"
Lincoln,NE,50,109,"Lincoln, NE"
Woodbridge,VA,50,145,"Woodbridge, VA"
Allentown,PA,50,145,"Allentown, PA"
Tallahassee,FL,49,159,"Tallahassee, FL"
Golden,CO,49,117,"Golden, CO"
Duluth,GA,49,141,"Duluth, GA"
Amherst,MA,49,102,"Amherst, MA"
Baton Rouge,LA,48,161,"Baton Rouge, LA"
Irving,TX,48,149,"Irving, TX"
Hanford,CA,48,81,"Hanford, CA"
Moreno Valley,CA,48,123,"Moreno Valley, CA"
Lacey,WA,48,115,"Lacey, WA"
Ventura,CA,48,153,"Ventura, CA"
Lancaster,PA,48,115,"Lancaster, PA"
Ashburn,VA,48,151,"Ashburn, VA"
Newton,MA,48,122,"Newton, MA"
Rohnert Park,CA,48,108,"Rohnert Park, CA"
Fairfield,CA,48,194,"Fairfield, CA"
Diamond Bar,CA,48,126,"Diamond Bar, CA"
Greensboro,NC,47,158,"Greensboro, NC"
Thousand Oaks,CA,47,235,"Thousand Oaks, CA"
Queens,NY,47,342,"Queens, NY"
Alameda,CA,47,113,"Alameda, CA"
Littleton,CO,47,165,"Littleton, CO"
Fall River,MA,46,115,"Fall River, MA"
Norfolk,VA,46,157,"Norfolk, VA"
Yonkers,NY,46,189,"Yonkers, NY"
Chico,CA,46,145,"Chico, CA"
Longmont,CO,46,112,"Longmont, CO"
Melbourne,FL,46,153,"Melbourne, FL"
Springfield,MO,46,115,"Springfield, MO"
Santa Cruz,CA,46,136,"Santa Cruz, CA"
Davis,CA,46,185,"Davis, CA"
Norwood,MA,46,102,"Norwood, MA"
Warwick,RI,46,129,"Warwick, RI"
Burlington,MA,45,111,"Burlington, MA"
Lancaster,CA,45,129,"Lancaster, CA"
Olathe,KS,45,101,"Olathe, KS"
Traverse City,MI,45,126,"Traverse City, MI"
Daytona Beach,FL,45,179,"Daytona Beach, FL"
Salinas,CA,44,141,"Salinas, CA"
Morrisville,NC,44,144,"Morrisville, NC"
Lawrenceville,GA,44,106,"Lawrenceville, GA"
Wichita,KS,44,100,"Wichita, KS"
Virginia Beach,VA,44,132,"Virginia Beach, VA"
Lenexa,KS,44,99,"Lenexa, KS"
Toledo,OH,44,118,"Toledo, OH"
Modesto,CA,44,181,"Modesto, CA"
Vacaville,CA,44,168,"Vacaville, CA"
Durango,CO,43,96,"Durango, CO"
New London,CT,43,102,"New London, CT"
Brisbane,CA,43,130,"Brisbane, CA"
Mahwah,NJ,43,110,"Mahwah, NJ"
Gilbert,AZ,42,116,"Gilbert, AZ"
Oregon City,OR,42,67,"Oregon City, OR"
Stamford,CT,42,297,"Stamford, CT"
Des Moines,IA,42,108,"Des Moines, IA"
West Valley City,UT,42,137,"West Valley City, UT"
Huntsville,AL,42,119,"Huntsville, AL"
Oxnard,CA,42,98,"Oxnard, CA"
Aventura,FL,42,125,"Aventura, FL"
Goodyear,AZ,42,114,"Goodyear, AZ"
Draper,UT,41,122,"Draper, UT"
Park City,UT,41,202,"Park City, UT"
Provo,UT,41,92,"Provo, UT"
Walnut,CA,41,70,"Walnut, CA"
Clearwater,FL,41,135,"Clearwater, FL"
Tustin,CA,41,159,"Tustin, CA"
Kapolei,HI,40,88,"Kapolei, HI"
Redding,CA,40,188,"Redding, CA"
College Park,MD,40,130,"College Park, MD"
St. Petersburg,FL,40,118,"St. Petersburg, FL"
Ballston Spa,NY,40,107,"Ballston Spa, NY"
Delray Beach,FL,40,116,"Delray Beach, FL"
Beaverton,OR,40,143,"Beaverton, OR"
Ogden,UT,40,91,"Ogden, UT"
Flagstaff,AZ,39,127,"Flagstaff, AZ"
Waterbury,CT,39,136,"Waterbury, CT"
New Britain,CT,39,140,"New Britain, CT"
Novato,CA,39,101,"Novato, CA"
Iowa City,IA,39,83,"Iowa City, IA"
Tracy,CA,39,130,"Tracy, CA"
Aspen,CO,39,85,"Aspen, CO"
Paramus,NJ,39,155,"Paramus, NJ"
Corona,CA,39,103,"Corona, CA"
Centennial,CO,38,98,"Centennial, CO"
Beverly,MA,38,105,"Beverly, MA"
Salem,MA,38,84,"Salem, MA"
Camarillo,CA,38,170,"Camarillo, CA"
Murrieta,CA,38,131,"Murrieta, CA"
Taylorsville,UT,38,80,"Taylorsville, UT"
Wilmington,DE,38,113,"Wilmington, DE"
Northampton,MA,38,95,"Northampton, MA"
Corpus Christi,TX,38,98,"Corpus Christi, TX"
Poughkeepsie,NY,38,151,"Poughkeepsie, NY"
Dublin,OH,37,111,"Dublin, OH"
Westlake Village,CA,37,78,"Westlake Village, CA"
Athens,GA,37,102,"Athens, GA"
Clifton Park,NY,37,189,"Clifton Park, NY"
Frederick,MD,37,132,"Frederick, MD"
White Plains,NY,37,243,"White Plains, NY"
Las Cruces,NM,36,88,"Las Cruces, NM"
Manhattan Beach,CA,36,118,"Manhattan Beach, CA"
Ukiah,CA,36,102,"Ukiah, CA"
Solana Beach,CA,36,81,"Solana Beach, CA"
Watertown,MA,36,73,"Watertown, MA"
Akron,OH,36,81,"Akron, OH"
Petaluma,CA,36,163,"Petaluma, CA"
Pompano Beach,FL,36,110,"Pompano Beach, FL"
South Burlington,VT,36,107,"South Burlington, VT"
Davie,FL,36,111,"Davie, FL"
West Sacramento,CA,36,78,"West Sacramento, CA"
Louisville,CO,36,77,"Louisville, CO"
Issaquah,WA,35,93,"Issaquah, WA"
Martinez,CA,35,64,"Martinez, CA"
Woburn,MA,35,129,"Woburn, MA"
Middletown,CT,35,113,"Middletown, CT"
Renton,WA,35,101,"Renton, WA"
Black Hawk,CO,35,91,"Black Hawk, CO"
Lake Oswego,OR,35,98,"Lake Oswego, OR"
Vallejo,CA,35,122,"Vallejo, CA"
Winter Park,FL,35,84,"Winter Park, FL"
Murray,UT,35,67,"Murray, UT"
Malden,MA,35,88,"Malden, MA"
Spring,TX,34,107,"Spring, TX"
